user_id,user_url,sentiment_analysis,posted,item_id,recommend
sad-commie,http://steamcommunity.com/id/sad-commie,2,NaT,294100,1
76561198030567998,http://steamcommunity.com/profiles/76561198030567998,2,2014-11-11,332800,1
76561198010674657,http://steamcommunity.com/profiles/76561198010674657,2,NaT,377160,0
Coldaniel,http://steamcommunity.com/id/Coldaniel,2,2015-03-22,35450,1
therealmorty,http://steamcommunity.com/id/therealmorty,2,2015-03-20,351570,1
Berserklejerker,http://steamcommunity.com/id/Berserklejerker,2,2015-10-10,391540,1
76561198061730629,http://steamcommunity.com/profiles/76561198061730629,2,2014-07-06,550,1
YoHuNz,http://steamcommunity.com/id/YoHuNz,2,2014-06-19,440,1
possessioniskey,http://steamcommunity.com/id/possessioniskey,2,2015-04-11,72850,1
76561198093112529,http://steamcommunity.com/profiles/76561198093112529,2,2014-08-09,440,1
76561198060447950,http://steamcommunity.com/profiles/76561198060447950,2,2015-09-26,200510,1
whiteofwolfing,http://steamcommunity.com/id/whiteofwolfing,2,2015-05-22,730,1
sergarino,http://steamcommunity.com/id/sergarino,2,2015-08-22,383080,1
76561198081962345,http://steamcommunity.com/profiles/76561198081962345,2,NaT,200210,1
76561198073210139,http://steamcommunity.com/profiles/76561198073210139,0,NaT,304050,1
Nozomikat,http://steamcommunity.com/id/Nozomikat,2,2015-12-30,265610,1
xfluttersx,http://steamcommunity.com/id/xfluttersx,2,2015-11-10,351640,1
76561198056290589,http://steamcommunity.com/profiles/76561198056290589,2,2014-12-16,730,1
ii_voltage_ii,http://steamcommunity.com/id/ii_voltage_ii,2,2014-06-29,253710,0
76561198097762318,http://steamcommunity.com/profiles/76561198097762318,2,2015-11-11,440,1
Hirukaz,http://steamcommunity.com/id/Hirukaz,2,2013-01-17,550,1
StelerForYou,http://steamcommunity.com/id/StelerForYou,2,2015-07-17,730,1
76561198183396245,http://steamcommunity.com/profiles/76561198183396245,2,2015-05-06,440,1
Xx-Woods,http://steamcommunity.com/id/Xx-Woods,2,NaT,346330,0
kevinator23,http://steamcommunity.com/id/kevinator23,2,2015-07-06,320760,1
76561198090715178,http://steamcommunity.com/profiles/76561198090715178,2,2014-03-28,4000,1
CatsWhale,http://steamcommunity.com/id/CatsWhale,2,2015-02-23,333950,1
76561198073784601,http://steamcommunity.com/profiles/76561198073784601,2,2015-03-26,221100,1
mimimomoma,http://steamcommunity.com/id/mimimomoma,0,2015-11-23,730,1
76561198102410011,http://steamcommunity.com/profiles/76561198102410011,2,2015-09-14,440,1
de_Butl3r,http://steamcommunity.com/id/de_Butl3r,2,2014-10-13,209870,1
76561198027947401,http://steamcommunity.com/profiles/76561198027947401,2,NaT,322170,1
Bluezap1,http://steamcommunity.com/id/Bluezap1,2,2015-12-27,440,1
76561198074200011,http://steamcommunity.com/profiles/76561198074200011,2,2015-11-15,730,1
jonasdbomb,http://steamcommunity.com/id/jonasdbomb,2,NaT,346110,1
L1J1N,http://steamcommunity.com/id/L1J1N,2,2014-06-13,570,1
Lord_Exploit,http://steamcommunity.com/id/Lord_Exploit,2,2015-03-13,311560,1
AVATAR715,http://steamcommunity.com/id/AVATAR715,1,2014-01-02,48240,0
YieuwMage,http://steamcommunity.com/id/YieuwMage,2,NaT,730,1
76561198078752187,http://steamcommunity.com/profiles/76561198078752187,0,2014-12-16,240,1
A-Very-Sly-Person,http://steamcommunity.com/id/A-Very-Sly-Person,2,2015-08-14,304930,1
76561198211054671,http://steamcommunity.com/profiles/76561198211054671,0,NaT,730,1
76561197994493402,http://steamcommunity.com/profiles/76561197994493402,2,NaT,365590,1
Koolcaz12,http://steamcommunity.com/id/Koolcaz12,2,NaT,298050,0
76561198065656175,http://steamcommunity.com/profiles/76561198065656175,2,2015-11-20,383080,1
76561198188979775,http://steamcommunity.com/profiles/76561198188979775,2,NaT,440,1
97396295,http://steamcommunity.com/id/97396295,2,2014-08-23,301520,1
76561198126640317,http://steamcommunity.com/profiles/76561198126640317,2,2015-06-15,251570,1
DemonicWolvz,http://steamcommunity.com/id/DemonicWolvz,2,2015-01-15,55230,1
DieMadchenschanderin,http://steamcommunity.com/id/DieMadchenschanderin,2,2015-08-29,346110,1
GGargula,http://steamcommunity.com/id/GGargula,2,NaT,570,0
Myther43,http://steamcommunity.com/id/Myther43,2,NaT,273350,1
getf0kinn0sc0pedm9,http://steamcommunity.com/id/getf0kinn0sc0pedm9,0,2015-05-31,730,1
76561198141443390,http://steamcommunity.com/profiles/76561198141443390,2,2015-05-03,730,1
76561198097333029,http://steamcommunity.com/profiles/76561198097333029,0,NaT,570,1
whodafuqisthisguilao,http://steamcommunity.com/id/whodafuqisthisguilao,2,2015-08-06,730,1
Magjiikal,http://steamcommunity.com/id/Magjiikal,2,2015-10-05,370480,1
ohnospaghet,http://steamcommunity.com/id/ohnospaghet,2,2014-12-17,1840,1
76561198050347115,http://steamcommunity.com/profiles/76561198050347115,2,NaT,292030,1
2768820078,http://steamcommunity.com/id/2768820078,2,2015-09-01,287700,1
76561198056392326,http://steamcommunity.com/profiles/76561198056392326,2,NaT,259530,1
2d4nk4m3,http://steamcommunity.com/id/2d4nk4m3,2,2014-08-20,317470,0
76561198078478151,http://steamcommunity.com/profiles/76561198078478151,2,NaT,730,1
exiaez,http://steamcommunity.com/id/exiaez,2,NaT,365450,1
76561198095921854,http://steamcommunity.com/profiles/76561198095921854,2,2015-05-01,245620,1
EizanAratoFujimaki,http://steamcommunity.com/id/EizanAratoFujimaki,2,2015-10-28,70,1
TeCool,http://steamcommunity.com/id/TeCool,2,2014-12-15,274980,1
2xDelorean,http://steamcommunity.com/id/2xDelorean,2,2015-09-13,570,1
washington_,http://steamcommunity.com/id/washington_,2,NaT,440,0
jewxxl,http://steamcommunity.com/id/jewxxl,2,2015-05-18,251970,1
76561198088944293,http://steamcommunity.com/profiles/76561198088944293,2,NaT,359550,1
76561198092540221,http://steamcommunity.com/profiles/76561198092540221,2,2015-07-31,400,1
76561198051258119,http://steamcommunity.com/profiles/76561198051258119,2,2015-02-04,730,1
nubquake123,http://steamcommunity.com/id/nubquake123,2,2014-04-21,265610,1
Pyromanic,http://steamcommunity.com/id/Pyromanic,2,2013-02-15,31280,1
76561198109656922,http://steamcommunity.com/profiles/76561198109656922,2,NaT,440,1
CobRazor,http://steamcommunity.com/id/CobRazor,0,2015-08-01,252490,1
relesprit,http://steamcommunity.com/id/relesprit,2,2013-12-27,8930,1
WitchHunter4542,http://steamcommunity.com/id/WitchHunter4542,2,2014-07-16,304930,1
pwrt,http://steamcommunity.com/id/pwrt,2,2015-09-03,230410,1
wantmahbody,http://steamcommunity.com/id/wantmahbody,2,2014-05-03,440,1
76561198115868847,http://steamcommunity.com/profiles/76561198115868847,0,NaT,219640,0
benedictcuminherbatch,http://steamcommunity.com/id/benedictcuminherbatch,2,2014-08-02,570,1
76561198031207016,http://steamcommunity.com/profiles/76561198031207016,2,2014-03-17,8930,1
76561198043458582,http://steamcommunity.com/profiles/76561198043458582,0,2015-07-19,105600,1
smashiroshh,http://steamcommunity.com/id/smashiroshh,2,2014-12-30,218620,1
shark854,http://steamcommunity.com/id/shark854,2,NaT,225540,1
killbunny38,http://steamcommunity.com/id/killbunny38,2,2015-01-22,570,1
76561198047630659,http://steamcommunity.com/profiles/76561198047630659,2,2015-05-14,230410,0
1337lolroflmao,http://steamcommunity.com/id/1337lolroflmao,2,2015-04-13,271590,1
sithjjf,http://steamcommunity.com/id/sithjjf,2,2015-09-01,302830,0
76561198060039459,http://steamcommunity.com/profiles/76561198060039459,2,2014-10-04,570,0
OzfurAtlas,http://steamcommunity.com/id/OzfurAtlas,2,NaT,218620,0
76561198065593074,http://steamcommunity.com/profiles/76561198065593074,2,2015-11-06,304930,0
76561198044169764,http://steamcommunity.com/profiles/76561198044169764,2,2015-06-24,227940,0
euzi,http://steamcommunity.com/id/euzi,2,2014-07-26,236390,1
76561198074935997,http://steamcommunity.com/profiles/76561198074935997,2,NaT,221100,0
76561197961778802,http://steamcommunity.com/profiles/76561197961778802,2,2014-04-23,730,1
lucasrash,http://steamcommunity.com/id/lucasrash,2,NaT,440,1
76561198016602703,http://steamcommunity.com/profiles/76561198016602703,2,NaT,301520,0
thisissohardtomakeoneup,http://steamcommunity.com/id/thisissohardtomakeoneup,2,2014-04-12,440,1
76561198087010391,http://steamcommunity.com/profiles/76561198087010391,2,2015-04-04,4000,1
66666669999999,http://steamcommunity.com/id/66666669999999,2,2015-01-05,302830,0
76561198061174192,http://steamcommunity.com/profiles/76561198061174192,2,2014-09-14,220200,1
ReMiXOfficalSteam,http://steamcommunity.com/id/ReMiXOfficalSteam,2,2015-10-12,352460,1
Wilfire77,http://steamcommunity.com/id/Wilfire77,2,2015-03-22,322920,1
76561198084390807,http://steamcommunity.com/profiles/76561198084390807,2,2015-12-01,234792,1
Mastic,http://steamcommunity.com/id/Mastic,2,2015-08-01,304050,0
76561198028286104,http://steamcommunity.com/profiles/76561198028286104,2,2013-12-26,10180,1
tarjla,http://steamcommunity.com/id/tarjla,2,NaT,242760,1
deathnz1,http://steamcommunity.com/id/deathnz1,2,NaT,233110,0
readingthis4noobs,http://steamcommunity.com/id/readingthis4noobs,2,NaT,227940,1
76561198104393251,http://steamcommunity.com/profiles/76561198104393251,2,2015-03-13,304930,1
76561198075322986,http://steamcommunity.com/profiles/76561198075322986,2,NaT,730,1
redsncrimson,http://steamcommunity.com/id/redsncrimson,2,NaT,448530,1
76561198151910904,http://steamcommunity.com/profiles/76561198151910904,2,NaT,252950,1
H1DD3NT3RR0R,http://steamcommunity.com/id/H1DD3NT3RR0R,2,2014-03-10,240,1
76561198071214618,http://steamcommunity.com/profiles/76561198071214618,2,2015-05-11,268750,1
76561198115115631,http://steamcommunity.com/profiles/76561198115115631,2,2015-05-22,570,1
76561198071175142,http://steamcommunity.com/profiles/76561198071175142,2,2015-08-10,570,1
t8s,http://steamcommunity.com/id/t8s,2,2015-05-13,360870,1
pikawuu2,http://steamcommunity.com/id/pikawuu2,2,NaT,230410,1
Sammeh00,http://steamcommunity.com/id/Sammeh00,2,2014-11-04,301520,1
Michaelele,http://steamcommunity.com/id/Michaelele,0,2014-08-07,6060,1
76561198045754869,http://steamcommunity.com/profiles/76561198045754869,0,2015-08-07,335670,1
76561198076098774,http://steamcommunity.com/profiles/76561198076098774,2,2015-08-02,215080,1
76561198103253374,http://steamcommunity.com/profiles/76561198103253374,2,2014-02-24,570,1
76561198048417105,http://steamcommunity.com/profiles/76561198048417105,2,2015-12-28,271590,1
76561198090842891,http://steamcommunity.com/profiles/76561198090842891,2,2015-01-16,8190,1
76561198055767971,http://steamcommunity.com/profiles/76561198055767971,2,2015-06-10,247730,0
76561197998052647,http://steamcommunity.com/profiles/76561197998052647,2,2014-11-27,233630,1
adohya343,http://steamcommunity.com/id/adohya343,2,NaT,303390,0
76561198145436942,http://steamcommunity.com/profiles/76561198145436942,2,2014-08-02,221100,1
jjas01,http://steamcommunity.com/id/jjas01,1,2014-11-03,208812,0
3xotic26,http://steamcommunity.com/id/3xotic26,2,2014-02-26,500,1
iamthetrashlord,http://steamcommunity.com/id/iamthetrashlord,2,2015-06-16,206420,1
3dster,http://steamcommunity.com/id/3dster,2,2015-08-24,550,1
76561198079990063,http://steamcommunity.com/profiles/76561198079990063,2,2014-03-14,231040,1
Forty-Nine,http://steamcommunity.com/id/Forty-Nine,2,2014-08-28,221100,1
76561198051017916,http://steamcommunity.com/profiles/76561198051017916,2,2015-05-30,351040,1
L4M1NAS,http://steamcommunity.com/id/L4M1NAS,2,NaT,227940,1
76561198096766604,http://steamcommunity.com/profiles/76561198096766604,2,NaT,301520,0
76561197995322437,http://steamcommunity.com/profiles/76561197995322437,2,2015-07-23,264710,1
imsojipper,http://steamcommunity.com/id/imsojipper,2,2014-07-07,218620,1
76561198084542731,http://steamcommunity.com/profiles/76561198084542731,2,2015-01-16,206420,1
76561198103671881,http://steamcommunity.com/profiles/76561198103671881,2,2015-04-11,570,1
mrpfresh,http://steamcommunity.com/id/mrpfresh,0,NaT,236110,1
GamerFag,http://steamcommunity.com/id/GamerFag,2,2012-07-15,440,1
EHS-R3AP3R,http://steamcommunity.com/id/EHS-R3AP3R,2,2015-09-09,339230,0
chidori_647,http://steamcommunity.com/id/chidori_647,2,2013-12-15,219990,1
76561198092227136,http://steamcommunity.com/profiles/76561198092227136,2,2014-09-11,730,1
hellcat59,http://steamcommunity.com/id/hellcat59,2,2014-07-18,4000,1
76561198007584361,http://steamcommunity.com/profiles/76561198007584361,2,2015-09-10,401650,1
tbimperator,http://steamcommunity.com/id/tbimperator,2,2012-05-22,35450,1
Allahu_Akbar666,http://steamcommunity.com/id/Allahu_Akbar666,2,2015-01-17,230410,1
ulramite,http://steamcommunity.com/id/ulramite,2,2014-10-27,290020,1
-GM-Dragon,http://steamcommunity.com/id/-GM-Dragon,0,2014-03-08,226700,0
76561198054040292,http://steamcommunity.com/profiles/76561198054040292,2,2015-03-13,298260,1
76561198078799606,http://steamcommunity.com/profiles/76561198078799606,0,2015-10-01,370240,0
I_DID_911_JUST_SAYING,http://steamcommunity.com/id/I_DID_911_JUST_SAYING,2,NaT,214420,1
750805,http://steamcommunity.com/id/750805,2,NaT,369070,0
diabeticfuck,http://steamcommunity.com/id/diabeticfuck,0,2015-08-31,218620,1
76561198054465623,http://steamcommunity.com/profiles/76561198054465623,2,2015-01-10,302830,0
aaropro,http://steamcommunity.com/id/aaropro,2,2014-08-29,440,1
abiam,http://steamcommunity.com/id/abiam,2,2014-11-16,238960,1
FrankoWalker,http://steamcommunity.com/id/FrankoWalker,2,2015-01-04,310370,1
LightfootSword7,http://steamcommunity.com/id/LightfootSword7,2,2015-11-26,221100,0
SALTTHEW0UND,http://steamcommunity.com/id/SALTTHEW0UND,2,2015-06-12,248820,1
express157,http://steamcommunity.com/id/express157,2,2014-09-02,304930,1
76561198074644990,http://steamcommunity.com/profiles/76561198074644990,2,2015-02-05,242760,1
76561198064304806,http://steamcommunity.com/profiles/76561198064304806,0,2015-12-11,730,1
TomoeMamiewe,http://steamcommunity.com/id/TomoeMamiewe,2,2014-02-16,10150,1
76561198057086148,http://steamcommunity.com/profiles/76561198057086148,2,2015-01-17,214950,1
Acidius99,http://steamcommunity.com/id/Acidius99,2,2014-06-21,218620,1
acorn13,http://steamcommunity.com/id/acorn13,2,2014-07-31,313740,1
adamcookie,http://steamcommunity.com/id/adamcookie,2,NaT,570,1
AddzyTheBaddzy,http://steamcommunity.com/id/AddzyTheBaddzy,2,2015-02-02,291550,1
mrfunkyjunkie,http://steamcommunity.com/id/mrfunkyjunkie,2,2014-01-05,233250,1
mradobe7,http://steamcommunity.com/id/mradobe7,0,NaT,275850,0
76561198167207237,http://steamcommunity.com/profiles/76561198167207237,2,NaT,337320,1
cancerkek,http://steamcommunity.com/id/cancerkek,2,2015-02-27,730,1
76561198073508075,http://steamcommunity.com/profiles/76561198073508075,2,2014-04-13,10090,1
76561198074323290,http://steamcommunity.com/profiles/76561198074323290,2,NaT,252490,0
76561198090899557,http://steamcommunity.com/profiles/76561198090899557,0,NaT,252490,0
advenger95,http://steamcommunity.com/id/advenger95,2,2015-06-05,22370,1
EndAtHallow,http://steamcommunity.com/id/EndAtHallow,2,2015-01-15,1250,1
76561198063624801,http://steamcommunity.com/profiles/76561198063624801,0,2014-01-12,440,1
aeryal,http://steamcommunity.com/id/aeryal,2,2014-05-03,440,1
76561198070263209,http://steamcommunity.com/profiles/76561198070263209,2,2013-12-13,570,1
76561198015968275,http://steamcommunity.com/profiles/76561198015968275,2,2015-09-06,248610,1
Agiegamma,http://steamcommunity.com/id/Agiegamma,2,2014-02-12,208090,1
76561198082614708,http://steamcommunity.com/profiles/76561198082614708,2,2014-04-28,250340,1
Agronoth,http://steamcommunity.com/id/Agronoth,2,2014-02-09,244850,1
UnholyFallenAngel,http://steamcommunity.com/id/UnholyFallenAngel,2,2014-10-07,262410,1
76561198068565589,http://steamcommunity.com/profiles/76561198068565589,2,2014-02-22,221100,1
SlutOnTheSpit,http://steamcommunity.com/id/SlutOnTheSpit,2,2014-01-02,4000,1
WestyGaming,http://steamcommunity.com/id/WestyGaming,2,2014-06-07,223710,1
NaruseAiria,http://steamcommunity.com/id/NaruseAiria,2,2014-10-28,317360,1
76561198067713802,http://steamcommunity.com/profiles/76561198067713802,2,2015-09-27,239660,1
76561198187212131,http://steamcommunity.com/profiles/76561198187212131,2,NaT,730,1
76561198044678148,http://steamcommunity.com/profiles/76561198044678148,2,NaT,495890,1
Alex680,http://steamcommunity.com/id/Alex680,2,2014-04-25,4000,1
alansiulun,http://steamcommunity.com/id/alansiulun,2,2014-11-01,295270,1
Albolah,http://steamcommunity.com/id/Albolah,2,2015-12-29,283920,1
76561198003056556,http://steamcommunity.com/profiles/76561198003056556,1,NaT,432020,0
maxpaynepillkiller,http://steamcommunity.com/id/maxpaynepillkiller,0,NaT,319630,1
AlexNoClutch,http://steamcommunity.com/id/AlexNoClutch,2,2015-06-05,227860,0
Alexwai04,http://steamcommunity.com/id/Alexwai04,2,2015-01-09,218620,1
76561198095481910,http://steamcommunity.com/profiles/76561198095481910,0,2014-02-01,208090,1
76561198164545985,http://steamcommunity.com/profiles/76561198164545985,2,NaT,730,1
AlkalineDeath,http://steamcommunity.com/id/AlkalineDeath,2,2015-03-02,228280,1
76561198075935236,http://steamcommunity.com/profiles/76561198075935236,2,2015-01-26,226700,1
mintifreshbadger,http://steamcommunity.com/id/mintifreshbadger,2,2015-11-09,35450,1
AlpacaRevolution,http://steamcommunity.com/id/AlpacaRevolution,2,NaT,9900,1
AlphaBryn444,http://steamcommunity.com/id/AlphaBryn444,2,NaT,236370,1
76561198071952798,http://steamcommunity.com/profiles/76561198071952798,2,NaT,381210,1
76561198009001563,http://steamcommunity.com/profiles/76561198009001563,2,2014-09-03,570,1
76561198016753953,http://steamcommunity.com/profiles/76561198016753953,2,2014-03-21,271290,1
smegmyfoodle,http://steamcommunity.com/id/smegmyfoodle,2,2015-02-03,346010,1
76561198057869849,http://steamcommunity.com/profiles/76561198057869849,2,2015-06-01,313120,1
76561198058836921,http://steamcommunity.com/profiles/76561198058836921,2,2015-01-17,211820,1
lol_ursuchanoob,http://steamcommunity.com/id/lol_ursuchanoob,0,2014-08-08,218620,1
AMV72,http://steamcommunity.com/id/AMV72,2,2013-01-21,206440,1
76561198069170979,http://steamcommunity.com/profiles/76561198069170979,2,2015-06-26,440,1
76561198085956238,http://steamcommunity.com/profiles/76561198085956238,0,NaT,224540,0
76561198132540690,http://steamcommunity.com/profiles/76561198132540690,2,2015-05-26,730,1
711armageddoncarmageddon,http://steamcommunity.com/id/711armageddoncarmageddon,2,2015-07-04,113020,1
76561198034868596,http://steamcommunity.com/profiles/76561198034868596,2,NaT,359870,1
Andraison,http://steamcommunity.com/id/Andraison,0,2015-07-31,22230,1
76561198055790408,http://steamcommunity.com/profiles/76561198055790408,2,2013-12-06,203770,1
76561198069560699,http://steamcommunity.com/profiles/76561198069560699,2,2013-12-30,550,1
76561198099625419,http://steamcommunity.com/profiles/76561198099625419,2,2014-05-08,230410,1
76561198084032274,http://steamcommunity.com/profiles/76561198084032274,0,2014-10-29,227940,0
Angrovar,http://steamcommunity.com/id/Angrovar,2,2014-08-16,17390,1
AngryAinsley,http://steamcommunity.com/id/AngryAinsley,2,2015-08-01,317360,1
uradumbtit,http://steamcommunity.com/id/uradumbtit,2,2014-05-29,274310,1
76561198037038784,http://steamcommunity.com/profiles/76561198037038784,2,NaT,252470,1
IKillNoobsFirst,http://steamcommunity.com/id/IKillNoobsFirst,2,2015-03-27,730,1
76561198037888300,http://steamcommunity.com/profiles/76561198037888300,2,2015-09-12,344770,1
1234865654,http://steamcommunity.com/id/1234865654,2,2014-06-29,22380,1
76561198040925596,http://steamcommunity.com/profiles/76561198040925596,2,NaT,440,1
76561198084123358,http://steamcommunity.com/profiles/76561198084123358,2,2015-02-07,9900,1
Apachehavoc,http://steamcommunity.com/id/Apachehavoc,2,2014-10-31,107410,0
ApexNZ,http://steamcommunity.com/id/ApexNZ,2,2014-02-03,221640,1
76561198039441595,http://steamcommunity.com/profiles/76561198039441595,2,2014-06-09,113020,0
76561198036687918,http://steamcommunity.com/profiles/76561198036687918,2,2015-12-20,377160,1
benjamin27,http://steamcommunity.com/id/benjamin27,2,2015-11-20,730,1
AppoGetsSuperAdmin,http://steamcommunity.com/id/AppoGetsSuperAdmin,2,2015-06-26,212500,1
76561198071475367,http://steamcommunity.com/profiles/76561198071475367,2,NaT,12160,1
76561198049916759,http://steamcommunity.com/profiles/76561198049916759,2,2015-07-02,219990,1
76561198065064829,http://steamcommunity.com/profiles/76561198065064829,2,NaT,219640,1
XABLAUziitu,http://steamcommunity.com/id/XABLAUziitu,2,2015-12-22,214420,0
76561198012909706,http://steamcommunity.com/profiles/76561198012909706,2,2013-12-07,218130,1
dragonchief,http://steamcommunity.com/id/dragonchief,2,2014-01-10,252490,0
76561198040530605,http://steamcommunity.com/profiles/76561198040530605,2,NaT,270210,1
76561197974500703,http://steamcommunity.com/profiles/76561197974500703,2,2012-07-15,8980,1
76561198047185525,http://steamcommunity.com/profiles/76561198047185525,2,2014-03-20,213670,1
sweep6060,http://steamcommunity.com/id/sweep6060,0,NaT,391540,1
bilyitu,http://steamcommunity.com/id/bilyitu,2,2014-10-06,570,1
76561198021244661,http://steamcommunity.com/profiles/76561198021244661,2,2014-04-15,105600,1
76561198088538797,http://steamcommunity.com/profiles/76561198088538797,2,2015-09-01,209870,1
deployablearchnagel,http://steamcommunity.com/id/deployablearchnagel,2,2014-05-30,265630,1
rotflmaoman,http://steamcommunity.com/id/rotflmaoman,2,2015-11-06,401920,1
armouredmarshmallow,http://steamcommunity.com/id/armouredmarshmallow,2,NaT,33230,1
76561198020928326,http://steamcommunity.com/profiles/76561198020928326,2,2014-07-01,70,1
Array71,http://steamcommunity.com/id/Array71,0,2014-09-27,8500,0
76561198039874575,http://steamcommunity.com/profiles/76561198039874575,0,2014-02-01,221100,1
arronlim13,http://steamcommunity.com/id/arronlim13,2,2015-05-28,99900,1
